"MasterFundCode","FullName","InceptionDate","Category"
"000121","华夏永福混合型证券投资基金","2013-08-13","混合型基金"
"000122","汇添富实业债债券型证券投资基金","2013-06-14","债券型基金"
"000124","华宝服务优选混合型证券投资基金","2013-06-27","混合型基金"
"000125","上投摩根天颐年丰混合型证券投资基金","2013-07-18","混合型基金"
"000126","招商安润灵活配置混合型证券投资基金","2013-04-19","混合型基金"
"000127","农银汇理行业领先混合型证券投资基金","2013-06-25","混合型基金"
"000128","大成景安短融债券型证券投资基金","2013-05-24","债券型基金"
"000130","大成景兴信用债债券型证券投资基金","2013-06-04","债券型基金"
"000132","中银理财21天债券型证券投资基金","2013-12-19","债券型基金"
"000134","信诚理财28日盈债券型证券投资基金","2017-05-25","债券型基金"
"000134","中信保诚嘉鸿债券型证券投资基金","2020-07-24","债券型基金"
"000136","民生加银策略精选灵活配置混合型证券投资基金","2013-06-07","混合型基金"
"000137","民生加银岁岁增利定期开放债券型证券投资基金","2013-08-01","债券型基金"
"000139","富国国有企业债债券型证券投资基金","2013-09-25","债券型基金"
"000142","融通增强收益债券型证券投资基金","2013-05-30","债券型基金"
"000143","鹏华双债加利债券型证券投资基金","2013-05-27","债券型基金"
"000145","长盛季季红1年期定期开放债券型证券投资基金","2013-06-14","债券型基金"
"000147","易方达高等级信用债债券型证券投资基金","2013-08-23","债券型基金"
"000149","华安双债添利债券型证券投资基金","2013-06-14","债券型基金"
"000151","诺安信用债券一年定期开放债券型证券投资基金","2013-06-18","债券型基金"
"000152","大成景旭纯债债券型证券投资基金","2013-07-23","债券型基金"
"000165","国投瑞银策略精选灵活配置混合型证券投资基金","2013-09-27","混合型基金"
"000166","中海信息产业精选混合型证券投资基金","2013-07-31","混合型基金"
"000167","广发聚优灵活配置混合型证券投资基金","2013-09-11","混合型基金"
"000169","泰达宏利收益增强债券型证券投资基金","2013-06-14","债券型基金"
"000171","易方达裕丰回报债券型证券投资基金","2013-08-23","债券型基金"
"000172","华泰柏瑞量化增强混合型证券投资基金","2013-08-02","混合型基金"
"000173","汇添富美丽30混合型证券投资基金","2013-06-25","混合型基金"
"000174","汇添富高息债债券型证券投资基金","2013-06-27","债券型基金"
"000176","嘉实沪深300指数研究增强型证券投资基金","2014-12-26","股票型基金"
"000177","嘉实丰益信用定期开放债券型证券投资基金","2013-08-21","债券型基金"
"000178","博时灵活配置混合型证券投资基金","2013-11-08","混合型基金"
"000179","广发美国房地产指数证券投资基金","2013-08-09","股票型基金"
"000181","景顺长城四季金利纯债债券型证券投资基金","2013-07-30","债券型基金"
"000183","嘉实丰益策略定期开放债券型证券投资基金","2013-07-30","债券型基金"
"000184","工银瑞信添福债券型证券投资基金","2013-10-31","债券型基金"
"000186","华泰柏瑞季季红债券型证券投资基金","2013-11-14","债券型基金"
"000187","华泰柏瑞丰盛纯债债券型证券投资基金","2013-09-02","债券型基金"
"000189","易方达丰华债券型证券投资基金","2016-01-13","债券型基金"
"000190","中银新回报灵活配置混合型证券投资基金","2013-09-10","混合型基金"
"000191","富国信用债债券型证券投资基金","2013-06-25","债券型基金"
"000193","国泰美国房地产开发股票型证券投资基金","2013-08-07","股票型基金"
"000194","银华信用四季红债券型证券投资基金","2013-08-07","债券型基金"
"000195","工银瑞信成长收益混合型证券投资基金","2013-06-26","混合型基金"
"000197","富国目标收益一年期纯债债券型证券投资基金","2013-06-27","债券型基金"
"000198","天弘余额宝货币市场基金","2013-05-29","货币型基金"
"000199","国泰量化策略收益混合型证券投资基金","2013-08-12","混合型基金"
"000200","博时岁岁增利一年定期开放债券型证券投资基金","2013-06-26","债券型基金"
"000201","诺安泰鑫一年定期开放债券型证券投资基金","2013-11-05","债券型基金"
"000202","富国目标收益两年期纯债债券型证券投资基金","2013-09-13","债券型基金"
"000203","富兰克林国海日日收益货币市场证券投资基金","2013-07-24","货币型基金"
"000205","易方达投资级信用债债券型证券投资基金","2013-09-10","债券型基金"
"000207","建信双债增强债券型证券投资基金","2013-07-25","债券型基金"
"000209","信诚新兴产业混合型证券投资基金","2013-07-17","混合型基金"
"000210","光大保德信现金宝货币市场基金","2013-09-05","货币型基金"
"000212","泰信鑫益定期开放债券型证券投资基金","2013-07-17","债券型基金"
"000214","广发成长优选灵活配置混合型证券投资基金","2013-12-11","混合型基金"
"000215","广发趋势优选灵活配置混合型证券投资基金","2013-09-11","混合型基金"
"000216","华安易富黄金交易型开放式证券投资基金联接基金","2013-08-22","混合型基金"
"000218","国泰黄金交易型开放式证券投资基金联接基金","2016-04-13","FOF"
"000219","博时裕益灵活配置混合型证券投资基金","2013-07-29","混合型基金"
"000220","富国医疗保健行业混合型证券投资基金","2013-08-07","混合型基金"
"000221","汇添富年年利定期开放债券型证券投资基金","2013-09-06","债券型基金"
"000225","长盛年年收益定期开放债券型证券投资基金","2013-08-09","债券型基金"
"000227","华安年年红定期开放债券型证券投资基金","2013-11-14","债券型基金"
"000235","诺安稳固收益一年定期开放债券型证券投资基金","2013-08-21","债券型基金"
"000236","工银瑞信月月薪定期支付债券型证券投资基金","2013-08-14","债券型基金"
"000237","国投瑞银岁添利一年期定期开放债券型证券投资基金","2013-08-21","债券型基金"
"000239","华安年年盈定期开放债券型证券投资基金","2015-02-03","债券型基金"
"000242","景顺长城策略精选灵活配置混合型证券投资基金","2013-08-07","混合型基金"
"000244","天弘稳利定期开放债券型证券投资基金","2013-07-19","债券型基金"
"000246","博时月月薪定期支付债券型证券投资基金","2013-07-25","债券型基金"
"000247","方正富邦互利定期开放债券型证券投资基金","2013-09-11","债券型基金"
"000248","汇添富中证主要消费交易型开放式指数证券投资基金联接基金","2015-03-24","股票型基金"
"000251","工银瑞信金融地产行业混合型证券投资基金","2013-08-26","混合型基金"
"000252","景顺长城景兴信用纯债债券型证券投资基金","2013-08-26","债券型基金"
"000254","长城增强收益定期开放债券型证券投资基金","2013-09-06","债券型基金"
"000256","上投摩根红利回报混合型证券投资基金","2013-09-18","混合型基金"
"000257","上投摩根岁岁盈定期开放债券型证券投资基金","2013-08-28","债券型基金"
"000259","农银汇理区间收益灵活配置混合型证券投资基金","2013-08-21","混合型基金"
"000260","信诚季季定期支付债券型证券投资基金","2013-09-12","债券型基金"
"000263","工银瑞信信息产业混合型证券投资基金","2013-11-11","混合型基金"
"000264","博时内需增长灵活配置混合型证券投资基金","2013-07-15","混合型基金"
"000265","易方达恒久添利1年定期开放债券型证券投资基金","2014-09-10","债券型基金"
"000267","广发集利一年定期开放债券型证券投资基金","2013-08-21","债券型基金"
"000269","嘉实合润双债两年期定期开放债券型证券投资基金","2017-07-20","债券型基金"
"000270","建信灵活配置混合型证券投资基金","2013-09-03","混合型基金"
"000271","中邮定期开放债券型证券投资基金","2013-11-05","债券型基金"
"000273","华润元大安鑫灵活配置混合型证券投资基金","2013-09-11","混合型基金"
"000274","广发亚太中高收益债券型证券投资基金","2013-11-28","债券型基金"
"000277","博时双月薪定期支付债券型证券投资基金","2013-10-22","债券型基金"
"000278","融通通泽灵活配置混合型证券投资基金","2013-08-30","混合型基金"
"000279","华商红利优选灵活配置混合型证券投资基金","2013-09-17","混合型基金"
"000280","博时双债增强债券型证券投资基金","2013-09-13","债券型基金"
"000284","富安达信用主题轮动纯债债券型发起式证券投资基金","2013-10-25","债券型基金"
"000286","银华信用季季红债券型证券投资基金","2013-09-18","债券型基金"
"000287","银华永利债券型证券投资基金","2014-01-22","债券型基金"
"000289","鹏华丰泰定期开放债券型证券投资基金","2013-09-24","债券型基金"
"000290","鹏华全球高收益债债券型证券投资基金","2013-10-22","债券型基金"
"000291","鹏华丰信分级债券型证券投资基金","2013-10-22","债券型基金"
"000291","鹏华普悦债券型证券投资基金","2018-05-15","债券型基金"
"000294","华安生态优先混合型证券投资基金","2013-11-28","混合型基金"
"000295","鹏华丰实定期开放债券证券投资基金","2013-09-10","债券型基金"
"000297","鹏华可转债债券型证券投资基金","2015-02-03","债券型基金"
"000298","中海纯债债券型证券投资基金","2014-04-23","债券型基金"
"000300","德邦德利货币市场基金","2013-09-16","货币型基金"
"000302","国泰淘金互联网债券型证券投资基金","2013-11-19","债券型基金"
"000303","长盛双月红1年期定期开放债券型证券投资基金","2013-09-24","债券型基金"
"000305","中银中高等级债券型证券投资基金","2013-12-05","债券型基金"
"000306","天弘弘利债券型证券投资基金","2013-09-11","债券型基金"
"000307","易方达黄金交易型开放式证券投资基金联接基金","2016-05-26","FOF"
"000308","建信创新中国混合型证券投资基金","2013-09-24","混合型基金"
"000309","摩根士丹利华鑫品质生活精选股票型证券投资基金","2013-10-29","股票型基金"
"000310","安信永利信用定期开放债券型证券投资基金","2013-11-08","债券型基金"
"000311","景顺长城沪深300指数增强型证券投资基金","2013-10-29","股票型基金"
"000312","华安沪深300量化增强证券投资基金","2013-09-27","股票型基金"
"000314","招商瑞丰灵活配置混合型发起式证券投资基金","2013-11-06","混合型基金"
"000315","融通通祥一年目标触发式灵活配置混合型证券投资基金","2013-10-22","混合型基金"
"000316","中海瑞利六个月定期开放债券型证券投资基金","2013-11-21","债券型基金"
"000319","泰达宏利淘利债券型证券投资基金","2014-08-06","债券型基金"
"000322","农银汇理14天理财债券型证券投资基金","2013-12-18","债券型基金"
"000322","农银汇理金汇债券型证券投资基金","2020-06-29","债券型基金"
"000324","华润元大现金收益货币市场基金","2013-10-29","货币型基金"
"000326","南方中小盘成长股票型证券投资基金","2015-10-28","股票型基金"
"000327","南方潜力新蓝筹混合型证券投资基金","2015-05-29","混合型基金"
"000328","上投摩根转型动力灵活配置混合型证券投资基金","2013-11-25","混合型基金"
"000329","鹏华丰饶定期开放债券型证券投资基金","2016-08-24","债券型基金"
"000330","汇添富现金宝货币市场基金","2013-09-12","货币型基金"
"000331","中加货币市场基金","2013-10-21","货币型基金"
"000333","长城稳固收益债券型证券投资基金","2015-01-28","债券型基金"
"000336","农银汇理研究精选灵活配置混合型证券投资基金","2013-11-05","混合型基金"
"000338","鹏华双债保利债券型证券投资基金","2013-09-18","债券型基金"
"000339","长城医疗保健混合型证券投资基金","2014-02-28","混合型基金"
"000340","嘉实新兴市场双币分级债券型证券投资基金","2013-11-26","债券型基金"
"000342","嘉实新兴市场债券型证券投资基金","2015-11-26","债券型基金"
"000343","华夏财富宝货币市场基金","2013-10-25","货币型基金"
"000345","鹏华丰融定期开放债券型证券投资基金","2013-11-19","债券型基金"
"000346","建信安心回报6个月定期开放债券型证券投资基金","2013-11-05","债券型基金"
"000348","广发中债金融债指数证券投资基金","2013-11-07","债券型基金"
"000351","富兰克林国海岁岁恒丰定期开放债券型证券投资基金","2013-11-20","债券型基金"
"000354","长盛城镇化主题混合型证券投资基金","2013-11-12","混合型基金"
"000355","南方丰元信用增强债券型证券投资基金","2013-11-12","债券型基金"
"000359","易方达易理财货币市场基金","2013-10-24","货币型基金"
"000360","信诚年年有余定期开放债券型证券投资基金","2013-11-27","债券型基金"
"000362","国泰聚信价值优势灵活配置混合型证券投资基金","2013-12-17","混合型基金"
"000366","汇添富新收益债券型证券投资基金","2013-12-10","债券型基金"
"000366","汇添富添富通货币市场基金","2015-01-16","货币型基金"
